id,ano,status,ementa,autor,url
316518,2006,Arquivada,"""Dispõe sobre a reserva de estacionamento para bicicletas nos estacionamentos, e dá outras providências"".",Carlos Nader,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=379519
340242,2007,Pronta para Pauta,"Altera a Lei nº 9.503, de 23 de setembro de 1997,  que dispõe sobre o Código de Trânsito Brasileiro.",Solange Amaral,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=434194
352982,2007,Tramitando em Conjunto,"Acrescenta dispositivo ao art. 41 da Lei nº 10.157, de 10 de julho de 2001, Estatuto da Cidade, para fixar diretriz aplicável aos planos de transporte urbano integrados.",Antonio Bulhões,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=463363
357423,2007,Tramitando em Conjunto,Estabelece a obrigação de implantação de ciclovias e ciclofaixas nos municípios e rodovias federais.,Edigar Mão Branca,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=475473
375725,2007,Arquivada,"Autoriza os Estados a legislar sobre mobilidade urbana, a partir das diretrizes nacionais que estabelece, conforme prevê o parágrafo único do art. 22 da Constituição Federal.",Marcondes Gadelha,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=520619
383074,2008,Arquivada,Regulamenta a atividade de entrega de mercadorias por meio de bicicleta.,Marcelo Ortiz,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=537409
389704,2008,Tramitando em Conjunto,"Altera a Lei nº 10.636, de 30 de dezembro de 2002, para incluir entre os objetivos essenciais da aplicação dos recursos da CIDE-Combustíveis a construção de ciclovias.",Rebecca Garcia,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=552012
390014,2008,Aguardando Designação de Relator,"Altera a Lei nº 10.257, de 10 de julho de 2001, (Estatuto da Cidade), para determinar a priorização dos meios de transporte de propulsão humana sobre os motorizados e do transporte coletivo sobre o individual.",Senado Federal - Antonio Carlos Valadares,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=552628
391080,2008,Arquivada,"Altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre crime doloso de trânsito.",Jovair Arantes,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=554903
392819,2008,Arquivada,"Acrescenta dispositivos à Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para dispor sobre os condutores e passageiros de bicicletas.",Dr. Talmir,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=559237
395799,2008,Tramitando em Conjunto,Dispõe sobre a reserva de local para o estacionamento de bicicletas.,Manuela D'ávila,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=566332
435960,2009,Arquivada,"Concede isenção do Imposto sobre Produtos Industrializados incidente sobre bicicletas, suas partes e peças, e reduz a zero as alíquotas da Contribuição para o PIS/PASEP e da Contribuição para o Financiamento da Seguridade Social incidentes sobre a importação e a receita bruta decorrente da venda, no mercado interno, desses bens.",Daniel Almeida,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=659303
447083,2009,Arquivada,Institui isenção da Contribuição para o PIS/PASEP e da COFINS para receitas oriundas de operações com peças de motocicletas e bicicletas.,Washington Luiz,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=683830
